MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,RingCount,activity_label
383.814,4.450340000000002,3,4,82.69999999999999,3,4,1
383.814,4.450340000000002,3,4,82.69999999999999,3,4,1
383.814,4.450340000000002,3,4,82.69999999999999,3,4,0
482.9030000000001,3.614320000000001,3,6,112.24,4,5,1
482.9030000000001,3.614320000000001,3,6,112.24,4,5,1
482.9030000000001,3.614320000000001,3,6,112.24,4,5,1
369.43200000000013,4.772000000000004,1,6,78.66000000000001,6,4,0
283.287,2.3105600000000006,2,4,113.98,5,1,0
215.16799999999998,1.73096,1,5,110.95000000000002,2,1,0
539.9990000000001,3.228220000000002,3,7,115.48,7,5,0
249.22199999999998,1.40098,2,5,99.78,4,1,0
236.234,1.55914,2,5,117.61999999999999,2,1,1
239.2779999999999,1.95376,0,4,60.05,2,2,0
186.17,1.52836,2,4,88.04,1,1,0
197.18999999999997,0.052200000000000135,4,4,103.78000000000002,3,1,0
542.0150000000001,3.57442,5,7,135.27,10,4,1
204.18499999999997,0.4900799999999999,3,4,107.34,2,1,0
281.231,1.4673399999999999,2,7,160.76,3,1,0
200.20100000000002,1.5102599999999997,1,5,81.19999999999999,3,1,0
230.22299999999998,1.83996,1,5,86.27,3,1,0
202.16899999999998,1.2339599999999997,3,5,108.27000000000001,1,1,0
292.34600000000006,3.806600000000002,1,5,65.77,4,3,0
189.17,1.3837799999999998,2,3,81.32,2,1,0
155.15999999999997,1.51216,0,3,60.47,1,1,0
215.16799999999998,1.7309600000000003,1,5,110.95000000000002,2,1,0
326.791,4.587100000000003,1,5,65.77,4,3,1
227.223,0.93896,2,4,96.91000000000001,3,1,0
250.30500000000004,3.2640200000000004,2,4,63.83,2,3,1
312.76400000000007,4.435700000000002,2,5,74.56,4,3,1
306.373,3.958000000000003,0,5,56.980000000000004,4,3,0
185.186,1.7351599999999998,2,4,79.84,2,1,0
179.17499999999998,0.8144999999999998,3,3,69.56,3,1,0
434.30100000000016,5.510200000000003,2,6,87.45,6,4,1
456.34800000000035,4.247200000000003,2,7,87.03,7,4,1
198.18099999999998,1.81536,1,3,84.88000000000001,2,1,0
511.9450000000004,2.895500000000001,4,7,124.26999999999998,7,5,1
218.16799999999998,1.1196599999999999,4,6,128.5,1,1,0
200.19699999999997,1.8313599999999997,1,4,77.03999999999999,2,1,0
559.6300000000002,4.824820000000003,3,7,117.16999999999999,6,7,1
559.6300000000002,4.824820000000003,3,7,117.16999999999999,6,7,1
250.30500000000004,2.8241000000000014,2,4,63.83,3,3,1
215.16799999999995,1.7309599999999998,1,5,110.95,2,1,0
